判定,搜索词,12月机会单,12月大盘成交,我成交份额%,我12月成交,覆盖月数,曝光份额%,点击份额%,成交份额%,最大漏点,竞品前3集中度%,头号竞品ASIN,竞品品牌(约),竞品趋势,应战型号,该ASIN成交价$,大盘点击中位$,该ASIN毛利%,运营,毛利闸
零广告CRO主攻,karaoke machine,111334,114429,2.7,3095,12,10.3,5.8,2.7,曝光→点击,40.3,B0D1VJMSQG,CYY,→稳,X2,349,59,18.6,赵健宏,薄利·冲量看7%线
儿童·Q4新品,karaoke machine for kids,41179,41219,0.1,40,12,0.7,0.2,0.1,曝光→点击,31.1,B0DPHFY94K,CYY,样本不足,S2,246,22,16.6,毛香明,薄利·冲量看7%线
零广告CRO主攻,karaoke machine for adults,40975,43248,5.3,2273,12,13.2,8.7,5.3,曝光→点击,43.6,B0D1VJMSQG,CYY,→稳,X2,349,74,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke microphone,27217,27218,0.0,1,12,0.2,0.1,0.0,曝光→点击,35.6,B071SGMQ7V,BONAOK,→稳,S1,265,19,27.0,赵健宏,毛利可撑
次选/机会池,mini karaoke machine,25697,25699,0.0,2,12,0.8,0.1,0.0,曝光→点击,34.5,B0DPHFY94K,BEILIHART,样本不足,S1,349,19,27.0,赵健宏,毛利可撑
儿童·Q4新品,kids karaoke machine,13791,13794,0.0,3,11,0.4,0.1,0.0,曝光→点击,30.5,B0CY46S8M6,YLL,样本不足,—,,21,,—,—
次选/机会池,karaoke,11377,11734,3.0,357,12,9.5,6.7,3.0,点击→成交,29.2,B0D1VJMSQG,CYY,→稳,S2,257,59,16.6,毛香明,薄利·冲量看7%线
次选/机会池,karaoke microphone wireless,8495,8501,0.1,6,12,0.6,0.3,0.1,点击→成交,35.1,B071SGMQ7V,BONAOK,→稳,S1,272,21,27.0,赵健宏,毛利可撑
次选/机会池,mini karaoke machine with 2 wireless microphones,5999,5999,0.0,0,9,0.6,0.1,0.0,曝光→点击,37.8,B0CNX6MMK3,BEILIHART,↓降,—,,19,,—,—
次选/机会池,karaoke mic,4490,4490,0.0,0,10,0.4,0.1,0.0,曝光→点击,40.8,B071SGMQ7V,BONAOK,→稳,—,,19,,—,—
零广告CRO主攻,portable karaoke machine,3330,3413,2.4,83,12,9.8,5.6,2.4,曝光→点击,41.2,B0D1VJMSQG,CYY,↑升,S2,249,47,16.6,毛香明,薄利·冲量看7%线
次选/机会池,microphone karaoke,2322,2324,0.1,2,10,0.3,0.1,0.1,曝光→点击,29.2,B071SGMQ7V,BONAOK,→稳,S1,294,19,27.0,赵健宏,毛利可撑
儿童·Q4新品,kids karaoke,2058,2058,0.0,0,7,0.4,0.1,0.0,曝光→点击,25.8,B0CHS2VNHC,YLL,→稳,—,,20,,—,—
守·领先词,karaoke machine with lyrics display,2023,2395,15.5,372,12,20.0,15.2,15.5,曝光→点击,39.1,B0D1VJMSQG,CYY,↑升,X2,359,101,18.6,赵健宏,薄利·冲量看7%线
儿童·Q4新品,karaoke machine for kids 8-12,1997,2000,0.1,3,10,0.8,0.3,0.1,曝光→点击,34.3,B0D1VJMSQG,CYY,样本不足,—,,30,,—,—
次选/机会池,karaoke speaker,1633,1642,0.5,9,12,2.1,1.5,0.5,点击→成交,19.6,B0D1VJMSQG,CYY,→稳,X2,341,99,18.6,赵健宏,薄利·冲量看7%线
儿童·Q4新品,karaoke machine kids,1509,1510,0.1,1,7,0.7,0.2,0.1,曝光→点击,25.6,B0CHS2VNHC,Peski,样本不足,—,,21,,—,—
次选/机会池,wireless microphones for karaoke,1402,1405,0.2,3,6,0.5,0.1,0.2,曝光→点击,25.0,B08WHHWRST,ECHOMUSSY,→稳,S1,262,39,27.0,赵健宏,毛利可撑
次选/机会池,mini karaoke,1402,1403,0.1,1,8,0.9,0.4,0.1,曝光→点击,28.2,B0CNX6MMK3,BEILIHART,→稳,S2,249,18,16.6,毛香明,薄利·冲量看7%线
儿童·Q4新品,mini karaoke machine for kids,1296,1296,0.0,0,4,0.7,0.1,0.0,曝光→点击,29.8,B0DHRXSZGH,YLL,样本不足,—,,19,,—,—
次选/机会池,small karaoke machine,1201,1203,0.2,2,12,3.0,1.0,0.2,曝光→点击,31.8,B0CNX6MMK3,BEILIHART,→稳,S1,262,19,27.0,赵健宏,毛利可撑
次选/机会池,car karaoke,964,965,0.1,1,11,1.2,0.4,0.1,曝光→点击,45.0,B0FLXPWWNG,jweathy,样本不足,—,,23,,—,—
次选/机会池,portable karaoke machine with 2 wireless microphones,935,950,1.6,15,12,7.1,4.7,1.6,点击→成交,40.9,B0CY46S8M6,CYY,样本不足,X2,374,53,18.6,赵健宏,薄利·冲量看7%线
放弃·他人品牌词,jyx karaoke machine,841,843,0.2,2,12,3.3,0.6,0.2,曝光→点击,50.4,B0CGX3LVYJ,JYX,样本不足,X2,399,99,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,car ride karaoke,833,833,0.0,0,3,0.5,0.2,0.0,曝光→点击,51.5,B0CY46S8M6,Peski,样本不足,—,,17,,—,—
放弃·他人品牌词,singing machine karaoke,797,815,2.2,18,12,8.8,3.3,2.2,曝光→点击,50.4,B0DFPG9PJN,Singing Machine,→稳,X2,349,110,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,bluetooth karaoke machine,765,772,0.9,7,12,5.1,2.8,0.9,曝光→点击,37.3,B0D1VJMSQG,CYY,→稳,S2,249,56,16.6,毛香明,薄利·冲量看7%线
守·领先词,karaoke machine with screen,763,951,19.8,188,12,19.9,15.9,19.8,曝光→点击,34.5,B0D1VJMSQG,CYY,→稳,X2,354,134,18.6,赵健宏,薄利·冲量看7%线
放弃·他人品牌词,jbl karaoke machine with 2 microphones,755,771,2.1,16,12,6.2,3.3,2.1,曝光→点击,39.1,B0CW89H6L6,JBL,→稳,X2,349,329,18.6,赵健宏,薄利·冲量看7%线
零广告CRO主攻,karaoke machine for tv,720,761,5.4,41,12,12.6,7.3,5.4,曝光→点击,35.9,B0D1VJMSQG,CYY,→稳,S2,249,97,16.6,毛香明,薄利·冲量看7%线
次选/机会池,karaoke mixer,704,705,0.1,1,12,0.7,0.1,0.1,曝光→点击,19.3,B00I2J4V5G,Sound Town,样本不足,X2,332,88,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,portable karaoke,691,713,3.1,22,12,9.0,7.0,3.1,点击→成交,37.0,B0CNX6MMK3,BEILIHART,→稳,S2,248,48,16.6,毛香明,薄利·冲量看7%线
次选/机会池,mini karaoke machine for adults,630,631,0.2,1,8,1.9,0.7,0.2,曝光→点击,42.5,B0CNX6MMK3,BEILIHART,样本不足,—,,21,,—,—
放弃·他人品牌词,jyx karaoke machine with 2 wireless microphones,564,564,0.0,0,12,2.6,0.5,0.0,曝光→点击,48.0,B0CGX3LVYJ,JYX,样本不足,—,,101,,—,—
次选/机会池,small karaoke machine with 2 mic,561,562,0.2,1,12,2.3,0.6,0.2,曝光→点击,36.4,B0CNX6MMK3,BEILIHART,样本不足,S2,246,20,16.6,毛香明,薄利·冲量看7%线
次选/机会池,karaoke set,522,527,0.9,5,12,7.4,4.6,0.9,点击→成交,35.6,B0D1VJMSQG,CYY,→稳,X2,349,55,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke game,520,520,0.0,0,3,1.2,0.3,0.0,曝光→点击,72.5,B0CWVMNNFV,Lucky Egg,→稳,—,,24,,—,—
放弃·他人品牌词,jbl karaoke,509,516,1.4,7,12,4.2,1.8,1.4,曝光→点击,41.3,B0CW89H6L6,JBL,→稳,X2,332,299,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke speaker with 2 microphones,498,504,1.2,6,12,3.5,2.7,1.2,点击→成交,26.4,B0D1VJMSQG,CYY,→稳,X2,341,76,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke microphone bluetooth,472,473,0.2,1,6,0.4,0.3,0.2,曝光→点击,30.4,B071SGMQ7V,BONAOK,→稳,—,,22,,—,—
次选/机会池,wireless karaoke microphone,461,461,0.0,0,5,0.4,0.2,0.0,点击→成交,30.6,B071SGMQ7V,BONAOK,→稳,—,,29,,—,—
次选/机会池,bluetooth karaoke microphone,455,456,0.2,1,6,0.9,0.5,0.2,曝光→点击,32.5,B071SGMQ7V,BONAOK,→稳,S1,319,21,27.0,赵健宏,毛利可撑
次选/机会池,karaoke games for adults,448,448,0.0,0,4,2.1,0.4,0.0,曝光→点击,70.5,B0CWVMNNFV,Lucky Egg,样本不足,—,,19,,—,—
次选/机会池,karaoke machines,429,454,5.5,25,12,10.7,8.8,5.5,点击→成交,33.3,B0D1VJMSQG,CYY,→稳,X2,354,69,18.6,赵健宏,薄利·冲量看7%线
数据薄·观察,syncfun karaoke machine,427,427,0.0,0,2,4.6,0.1,0.0,曝光→点击,68.1,B0CNX6MMK3,BEILIHART,样本不足,—,,23,,—,—
次选/机会池,karaoke system,413,441,6.3,28,12,10.3,7.8,6.3,曝光→点击,21.5,B0D1VJMSQG,Ikarao,→稳,X2,349,143,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,￼karaoke machine,405,409,1.0,4,8,7.7,3.8,1.0,曝光→点击,44.2,B0D1VJMSQG,CYY,样本不足,X2,332,54,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke machine with 2 microphones,403,409,1.5,6,12,5.3,3.5,1.5,点击→成交,31.6,B0D1VJMSQG,CYY,样本不足,X2,332,59,18.6,赵健宏,薄利·冲量看7%线
儿童·Q4新品,kids karaoke machine for girls,386,386,0.0,0,3,0.8,0.0,0.0,曝光→点击,28.8,B0CHS2VNHC,YLL,→稳,—,,22,,—,—
次选/机会池,home party karaoke machine,381,386,1.3,5,6,8.7,3.2,1.3,曝光→点击,41.4,B0D1VJMSQG,CYY,样本不足,S2,229,68,16.6,毛香明,薄利·冲量看7%线
次选/机会池,karaoke machine with microphone,376,379,0.8,3,12,5.3,2.2,0.8,曝光→点击,38.3,B0D1VJMSQG,CYY,样本不足,X2,346,54,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke machine￼,371,384,3.4,13,12,10.5,4.3,3.4,曝光→点击,38.6,B0D1VJMSQG,CYY,样本不足,X2,359,56,18.6,赵健宏,薄利·冲量看7%线
儿童·Q4新品,kid karaoke machine,354,354,0.0,0,6,1.2,0.4,0.0,曝光→点击,29.4,B0CHS2VNHC,Peski,→稳,—,,21,,—,—
次选/机会池,car karaoke system,343,344,0.3,1,9,2.8,1.7,0.3,点击→成交,49.7,B0CNX6MMK3,BEILIHART,样本不足,S1,349,26,27.0,赵健宏,毛利可撑
次选/机会池,karaoke machine portable,336,346,2.9,10,12,8.7,5.6,2.9,曝光→点击,34.9,B0D1VJMSQG,BEILIHART,样本不足,S2,249,47,16.6,毛香明,薄利·冲量看7%线
放弃·他人品牌词,vosoco karaoke machine,334,336,0.6,2,10,9.6,1.0,0.6,曝光→点击,92.2,B0CCJDG68C,VOSOCO,样本不足,—,,69,,—,—
次选/机会池,karaoke systems,320,355,9.9,35,12,11.2,10.3,9.9,曝光→点击,21.0,B0D1VJMSQG,Ikarao,→稳,X2,349,99,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke machine adults,319,332,3.9,13,12,7.8,5.8,3.9,曝光→点击,34.2,B0D1VJMSQG,CYY,样本不足,X2,346,63,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke speaker with microphone,316,317,0.3,1,11,2.2,1.1,0.3,曝光→点击,25.8,B0D1VJMSQG,CYY,样本不足,—,,69,,—,—
放弃·他人品牌词,jbl karaoke machine,313,323,3.1,10,12,7.9,3.8,3.1,曝光→点击,42.7,B0CW89H6L6,JBL,→稳,X2,341,309,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,adult karaoke machine,301,319,5.6,18,12,10.9,7.6,5.6,曝光→点击,35.5,B0D1VJMSQG,CYY,样本不足,X2,354,62,18.6,赵健宏,薄利·冲量看7%线
放弃·他人品牌词,moukey karaoke machine,287,289,0.7,2,12,8.1,1.4,0.7,曝光→点击,75.7,B0BRC6Y7SC,Moukey,→稳,S1,299,159,27.0,赵健宏,毛利可撑
次选/机会池,karaoke machine connect to tv,285,306,6.9,21,12,12.8,7.9,6.9,曝光→点击,41.4,B0D1VJMSQG,CYY,↑升,S2,240,82,16.6,毛香明,薄利·冲量看7%线
守·领先词,best karaoke machine for adults,279,327,14.7,48,12,16.4,19.7,14.7,点击→成交,38.7,B0D1VJMSQG,Ikarao,样本不足,X2,349,126,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,portable bluetooth karaoke machine with wireless microphones,271,273,0.7,2,7,4.2,2.4,0.7,曝光→点击,54.3,B0D1VJMSQG,CYY,样本不足,X2,332,56,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke machine bluetooth,267,269,0.7,2,12,5.5,2.8,0.7,曝光→点击,31.5,B0D1VJMSQG,CYY,样本不足,S2,274,59,16.6,毛香明,薄利·冲量看7%线
次选/机会池,karaoke microphone for adults,244,244,0.0,0,12,2.3,0.9,0.0,曝光→点击,32.2,B071SGMQ7V,BONAOK,样本不足,—,,23,,—,—
次选/机会池,wireless karaoke machine,232,235,1.3,3,12,6.4,3.3,1.3,曝光→点击,35.7,B0D1VJMSQG,CYY,样本不足,X2,349,55,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,voice changing karaoke machine,231,231,0.0,0,6,3.7,1.2,0.0,曝光→点击,42.3,B0CNX6MMK3,BEILIHART,样本不足,—,,24,,—,—
次选/机会池,portable karaoke machine for adults,227,238,4.6,11,12,11.0,9.2,4.6,点击→成交,38.2,B0D1VJMSQG,CYY,样本不足,S2,252,55,16.6,毛香明,薄利·冲量看7%线
次选/机会池,bluetooth microphone karaoke,220,221,0.5,1,5,1.2,0.4,0.5,曝光→点击,30.7,B071SGMQ7V,BONAOK,→稳,—,,21,,—,—
数据薄·观察,car ride karaoke for adults,205,205,0.0,0,2,1.5,0.3,0.0,曝光→点击,59.3,B0CX59GS8X,Peski,样本不足,—,,20,,—,—
放弃·他人品牌词,karaoke machine jbl,195,199,2.0,4,12,7.8,3.1,2.0,曝光→点击,40.5,B0CW89H6L6,JBL,→稳,X2,341,279,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke machine for teens,183,184,0.5,1,5,3.3,0.9,0.5,曝光→点击,35.2,B0D1VJMSQG,CYY,样本不足,—,,37,,—,—
次选/机会池,same day karaoke machine,178,183,2.7,5,9,10.3,5.4,2.7,曝光→点击,46.2,B0D1VJMSQG,CYY,样本不足,X2,349,64,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke for adults,178,186,4.3,8,12,9.1,6.0,4.3,曝光→点击,28.9,B0D1VJMSQG,CYY,样本不足,S2,249,59,16.6,毛香明,薄利·冲量看7%线
