ASIN 或商品=["B0CLLT85Y6"],报告范围=["每月"],选择年份=["2026"],选择月份=["3 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karaoke machine for adults ikarao","20","7","175","7","4.0","3","42.86","1","33.33","419.99","599.99","0","2","0","1","14.29","1","100.0","599.99","599.99","0","0","0","1","14.29","1","100.0","599.99","599.99","0","0","0","2026-03-31"
"singmood karaoke machine","79","185","5286","49","0.93","50","27.03","1","2.0","443.68","599.99","3","12","9","9","4.86","0","0.0","499.99",,"0","2","3","2","1.08","0","0.0","443.68",,"0","0","1","2026-03-31"
"parlante con pantalla táctil y trípode ikarao","40","3","30","3","10.0","2","66.67","2","100.0","599.99","599.99","0","0","0","1","33.33","1","100.0","599.99","599.99","0","0","0","0","0.0","0",,,,"0","0","0","2026-03-31"
"i karo karaoke machine","54","24","478","22","4.6","15","62.5","5","33.33","399.99","591.02","2","2","1","3","12.5","0","0.0","379.99",,"1","1","1","0","0.0","0",,,,"0","0","0","2026-03-31"
"professional karaoke machine for adults","88","601","19972","43","0.22","155","25.79","1","0.65","357.71","599.99","4","35","40","14","2.33","0","0.0","129.97",,"3","4","1","4","0.67","0","0.0","129.97",,"2","2","0","2026-03-31"
"ikarao brakex1","86","6","63","6","9.52","3","50.0","2","66.67","599.99","599.99","0","1","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-03-31"
"karaokee machine inteligente con micrófono incluido","97","30","660","30","4.55","15","50.0","1","6.67","229.99","599.99","0","4","10","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-03-31"
"best one loudest ikarao smart karaoke machine","46","1","33","1","3.03","1","100.0","1","100.0","599.49","599.49","0","0","0","1","100.0","1","100.0","599.49","599.49","0","0","0","0","0.0","0",,,,"0","0","0","2026-03-31"
"machine karaoke","84","163","3422","44","1.29","81","49.69","1","1.23","80.39","599.99","6","38","16","20","12.27","0","0.0","53.98",,"2","10","2","6","3.68","0","0.0","129.97",,"1","3","0","2026-03-31"
"ikarao x1","18","40","992","38","3.83","19","47.5","15","78.95","599.99","599.99","0","3","9","3","7.5","2","66.67","591.02","591.02","0","0","1","1","2.5","0","0.0","449.99",,"0","0","1","2026-03-31"
