ASIN 或商品=["B0CR1R7FKP"],报告范围=["每月"],选择年份=["2025"],选择月份=["5 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karaoke machine jbl","41","1596","34309","1525","4.44","575","36.03","13","2.26","249.99","379.99","31","184","235","85","5.33","1","1.18","229.95","399.99","10","31","30","16","1.0","0","0.0","89.95",,"4","6","5","2025-05-31"
"professional karaoke system","50","878","21773","838","3.85","334","38.04","19","5.69","399.99","399.97","2","39","65","26","2.96","1","3.85","379.0","399.97","1","5","3","2","0.23","0","0.0","96.99",,"0","2","0","2025-05-31"
"masingo karaoke machine","78","1009","23921","939","3.93","449","44.5","5","1.11","149.95","349.98","3","71","147","46","4.56","0","0.0","129.99",,"0","10","16","14","1.39","0","0.0","78.99",,"0","6","4","2025-05-31"
"ikaro karaoke machine","46","50","1607","55","3.42","22","44.0","2","9.09","269.99","349.98","0","8","7","9","18.0","2","22.22","285.0","349.98","0","3","2","5","10.0","2","40.0","349.98","349.98","0","2","1","2025-05-31"
"karaoke machine for adults with lyrics display","20","1328","34952","1174","3.36","502","37.8","31","6.18","129.99","399.97","43","169","177","63","4.74","6","9.52","129.99","379.99","4","25","19","11","0.83","1","9.09","129.99","349.98","2","5","2","2025-05-31"
"karaoke machine with lyrics display snd hmdi out","94","2","40","2","5.0","2","100.0","2","100.0","349.98","349.98","0","0","2","1","50.0","1","100.0","349.98","349.98","0","0","1","1","50.0","1","100.0","349.98","349.98","0","0","1","2025-05-31"
"moukey karaoke machine","29","1533","36959","1518","4.11","636","41.49","11","1.73","189.99","379.99","10","125","214","97","6.33","2","2.06","159.99","349.98","1","26","36","28","1.83","1","3.57","159.99","349.98","0","10","14","2025-05-31"
"kareokee machine with bluetooth and wireless microphone for adults","6","13309","292111","10416","3.57","5105","38.36","127","2.49","72.99","399.96","536","2095","1419","1478","11.11","21","1.42","67.99","379.99","189","667","378","389","2.92","6","1.54","69.99","349.98","71","195","84","2025-05-31"
"singtrix","82","669","16089","843","5.24","263","39.31","7","2.66","399.99","349.98","10","15","23","24","3.59","0","0.0","399.99",,"2","1","2","5","0.75","0","0.0","344.0",,"1","0","0","2025-05-31"
"ikaroo karaoke machine","12","410","10949","541","4.94","183","44.63","56","30.6","299.99","399.97","8","54","63","48","11.71","12","25.0","299.99","399.96","2","11","15","12","2.93","4","33.33","349.98","399.96","0","3","5","2025-05-31"
"singtrix karaoke system","67","659","15867","769","4.85","331","50.23","14","4.23","399.99","399.96","4","40","39","43","6.53","0","0.0","399.99",,"0","3","6","6","0.91","0","0.0","304.54",,"0","1","1","2025-05-31"
"easy karaoke machine","91","34","795","18","2.26","10","29.41","2","20.0","59.99","399.97","0","4","5","5","14.71","1","20.0","72.99","399.97","0","3","2","2","5.88","1","50.0","116.99","399.97","0","1","1","2025-05-31"
"ikarao shell s1","63","677","13240","993","7.5","338","49.93","10","2.96","299.99","379.99","19","77","122","62","9.16","0","0.0","285.0",,"3","12","23","20","2.95","0","0.0","279.99",,"1","5","8","2025-05-31"
"karaoke machine with lyrics display on tv","66","295","7967","267","3.35","114","38.64","7","6.14","109.99","399.99","10","45","27","24","8.14","3","12.5","139.95","399.97","1","15","4","3","1.02","0","0.0","72.99",,"0","1","0","2025-05-31"
"top rated karaoke machine for adults jbl","85","31","677","16","2.36","15","48.39","3","20.0","239.99","349.98","1","1","7","4","12.9","1","25.0","129.99","349.98","1","0","2","3","9.68","1","33.33","239.99","449.99","0","0","2","2025-05-31"
"ilarao karaoke machine","56","69","1413","96","6.79","26","37.68","7","26.92","299.99","399.96","2","5","11","11","15.94","2","18.18","269.99","349.98","0","3","4","2","2.9","1","50.0","27.49","349.98","0","1","0","2025-05-31"
"smart karaoke machine for adults","64","89","2054","92","4.48","27","30.34","8","29.63","299.99","399.99","0","8","11","2","2.25","1","50.0","74.99","379.99","0","1","1","1","1.12","1","100.0","379.99","379.99","0","0","1","2025-05-31"
"karaoke machine","1","246595","5635606","178370","3.17","95239","38.62","2067","2.17","64.98","399.97","9800","40363","26332","25725","10.43","249","0.97","56.99","399.97","3187","11588","6747","7170","2.91","61","0.85","59.49","399.97","1250","3549","1558","2025-05-31"
"break x2 karaoke","33","34","682","32","4.69","18","52.94","10","55.56","379.99","399.97","1","5","4","4","11.76","4","100.0","399.99","399.99","1","2","0","2","5.88","2","100.0","399.99","399.99","1","1","0","2025-05-31"
"top 10 karaoke machines","39","775","29359","1082","3.69","189","24.39","13","6.88","119.99","399.99","14","56","66","28","3.61","3","10.71","100.79","399.99","2","10","11","5","0.65","0","0.0","74.99",,"0","1","3","2025-05-31"
"ikarao x1","40","71","1702","67","3.94","41","57.75","8","19.51","566.99","399.97","0","15","17","8","11.27","2","25.0","566.99","399.97","0","4","2","2","2.82","2","100.0","399.97","399.97","0","1","1","2025-05-31"
"karaoke machine with screen","11","4241","99421","3558","3.58","1783","42.04","69","3.87","159.99","379.99","109","510","520","290","6.84","10","3.45","155.99","379.99","15","90","91","51","1.2","2","3.92","139.92","379.99","4","19","18","2025-05-31"
"ikarao x2","35","91","2040","97","4.75","43","47.25","23","53.49","379.99","399.97","0","8","11","4","4.4","4","100.0","399.99","399.99","0","2","2","1","1.1","1","100.0","449.99","449.99","0","0","1","2025-05-31"
"ikrao karaoke machine","75","23","505","25","4.95","9","39.13","4","44.44","299.99","449.99","1","3","2","2","8.7","1","50.0","285.0","449.99","0","0","0","2","8.7","1","50.0","285.0","449.99","0","0","0","2025-05-31"
"ikarao break x1 karaoke machine","36","341","8390","199","2.37","166","48.68","13","7.83","566.99","399.97","8","39","59","34","9.97","5","14.71","566.99","399.97","1","9","11","13","3.81","1","7.69","566.99","449.99","1","4","4","2025-05-31"
"rhm karaoke machine","55","545","11736","467","3.98","246","45.14","5","2.03","299.99","399.97","1","47","124","34","6.24","1","2.94","299.99","399.97","1","4","21","7","1.28","1","14.29","299.99","399.97","0","2","3","2025-05-31"
"karaoke machine connect to tv","37","965","24723","857","3.47","376","38.96","12","3.19","89.99","399.97","34","166","100","48","4.97","2","4.17","74.99","349.98","8","22","10","22","2.28","1","4.55","89.99","349.98","6","10","3","2025-05-31"
"karaoke machine for family","79","95","2220","89","4.01","36","37.89","2","5.56","59.99","349.98","2","12","11","10","10.53","1","10.0","59.99","349.98","0","5","3","1","1.05","1","100.0","349.98","349.98","0","0","0","2025-05-31"
"professional karaoke machine for adults","21","1475","36756","1391","3.78","473","32.07","49","10.36","239.99","399.99","35","128","145","92","6.24","4","4.35","139.99","399.97","11","37","23","10","0.68","0","0.0","75.99",,"2","5","2","2025-05-31"
