ASIN 或商品=["B0DCZQX11P"],报告范围=["每月"],选择年份=["2026"],选择月份=["1 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"ilarao karaoke machine","67","97","2144","120","5.6","34","35.05","6","17.65","279.99","262.49","1","7","8","8","8.25","3","37.5","279.99","262.49","1","3","3","3","3.09","0","0.0","349.99",,"1","1","1","2026-01-31"
"karaoke portavle","89","1","18","2","11.11","1","100.0","1","100.0","262.49","262.49","0","0","1","1","100.0","1","100.0","262.49","262.49","0","0","1","1","100.0","1","100.0","262.49","262.49","0","0","1","2026-01-31"
"ikarao shell 1","31","16","290","28","9.66","11","68.75","5","45.45","262.49","262.49","0","2","3","4","25.0","3","75.0","262.49","262.49","0","1","3","2","12.5","2","100.0","262.49","262.49","0","0","2","2026-01-31"
"microphone with autotune","59","918","22496","224","1.0","404","44.01","2","0.5","39.99","262.49","25","132","86","62","6.75","1","1.61","39.99","262.49","6","18","15","9","0.98","1","11.11","67.99","262.49","0","4","3","2026-01-31"
"ikarao shell s1","4","884","21326","923","4.33","451","51.02","183","40.58","262.49","262.49","23","96","146","70","7.92","46","65.71","262.49","262.49","4","26","15","29","3.28","21","72.41","262.49","262.49","1","13","8","2026-01-31"
"karaoke machine with screen","16","6254","156090","2561","1.64","2454","39.24","11","0.45","139.99","262.49","128","567","616","408","6.52","2","0.49","159.97","262.49","21","106","107","59","0.94","0","0.0","103.49",,"3","22","18","2026-01-31"
"ikarao s1","9","137","3391","148","4.36","80","58.39","28","35.0","249.99","262.49","5","16","25","12","8.76","10","83.33","262.49","262.49","1","3","5","9","6.57","8","88.89","262.49","262.49","1","3","3","2026-01-31"
"ikarao karaoke machine for adults, with lyrics display","57","5","108","9","8.33","5","100.0","2","40.0","279.99","262.49","0","1","3","3","60.0","2","66.67","279.99","262.49","0","1","1","2","40.0","1","50.0","262.49","262.49","0","1","0","2026-01-31"
"jbl karaoke","63","5631","114778","1032","0.9","2174","38.61","4","0.18","329.95","262.49","48","399","637","256","4.55","0","0.0","279.95",,"14","50","79","29","0.52","0","0.0","239.95",,"2","7","12","2026-01-31"
"aison karaoke k50","49","96","2501","93","3.72","59","61.46","23","38.98","262.49","262.49","2","15","21","2","2.08","2","100.0","279.99","279.99","0","1","1","0","0.0","0",,,,"0","0","0","2026-01-31"
"karaoke for tv","99","1013","25869","508","1.96","343","33.86","2","0.58","79.99","262.49","21","99","104","60","5.92","1","1.67","79.99","262.49","5","19","21","10","0.99","0","0.0","53.68",,"2","3","4","2026-01-31"
"ikarao shell s2 140w","86","2","55","2","3.64","1","50.0","1","100.0","262.49","262.49","0","0","1","1","50.0","1","100.0","262.49","262.49","0","0","1","1","50.0","1","100.0","262.49","262.49","0","0","1","2026-01-31"
"kareoke","66","2547","69503","672","0.97","763","29.96","5","0.66","56.99","279.99","81","208","177","185","7.26","1","0.54","49.99","279.99","26","61","37","54","2.12","0","0.0","49.99",,"8","20","14","2026-01-31"
"ikarso karaoke machine","53","33","648","41","6.33","14","42.42","4","28.57","262.49","262.49","3","0","6","3","9.09","2","66.67","262.49","262.49","1","0","2","1","3.03","1","100.0","262.49","262.49","0","0","1","2026-01-31"
"wireless microphones for karaoke","32","4990","126489","209","0.17","1835","36.77","5","0.27","39.98","262.49","236","618","433","495","9.92","2","0.4","35.99","262.49","80","166","116","138","2.77","2","1.45","36.49","262.49","27","47","30","2026-01-31"
