ASIN 或商品=["B0DHPN1DMJ"],报告范围=["每月"],选择年份=["2025"],选择月份=["12 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karaoke box","96","1404","35918","1070","2.98","417","29.7","10","2.4","53.68","223.99","22","57","84","124","8.83","4","3.23","43.68","223.99","13","14","27","34","2.42","2","5.88","49.98","223.99","5","5","12","2025-12-31"
"adult karaoke machine","36","3786","90849","3429","3.77","1596","42.16","40","2.51","64.99","223.99","104","262","380","447","11.81","10","2.24","59.99","223.99","31","83","109","109","2.88","2","1.83","69.99","223.99","11","14","35","2025-12-31"
"karafun","44","1542","35590","1989","5.59","441","28.6","45","10.2","59.99","223.99","36","58","83","69","4.47","10","14.49","25.99","223.99","5","8","14","30","1.95","2","6.67","22.99","223.99","3","1","5","2025-12-31"
"ikaroo karaoke machine","12","1814","45472","3207","7.05","777","42.83","250","32.18","249.99","223.99","29","106","200","168","9.26","64","38.1","249.99","223.99","11","23","38","65","3.58","21","32.31","265.98","223.99","4","9","20","2025-12-31"
"karaoke machine ikarao","31","418","11274","732","6.49","185","44.26","48","25.95","249.99","223.99","10","18","33","33","7.89","12","36.36","249.99","223.99","3","3","8","11","2.63","6","54.55","223.99","223.99","2","2","4","2025-12-31"
"ikarao karaoke","27","815","23217","1361","5.86","347","42.58","83","23.92","279.98","223.99","9","34","102","53","6.5","16","30.19","279.98","223.99","0","5","9","18","2.21","5","27.78","279.98","223.99","0","2","6","2025-12-31"
"karaoke with lyrics display","89","1194","31521","1510","4.79","439","36.77","12","2.73","116.99","223.99","25","91","88","79","6.62","4","5.06","99.99","223.99","5","20","14","27","2.26","2","7.41","139.99","223.99","1","5","6","2025-12-31"
"ikarao karaoke machine","3","15553","386088","27649","7.16","7294","46.9","1999","27.41","262.49","223.99","298","908","1607","1474","9.48","418","28.36","262.49","223.99","70","208","331","513","3.3","155","30.21","262.49","223.99","29","96","136","2025-12-31"
"karaoke","4","159435","3832871","116893","3.05","47963","30.08","1093","2.28","59.99","223.99","3621","8655","10336","11627","7.29","150","1.29","49.99","223.99","1056","2434","2748","3380","2.12","48","1.42","43.67","223.99","386","869","845","2025-12-31"
"singing machine karaoke system","78","2407","64571","2159","3.34","712","29.58","13","1.83","99.98","223.99","28","107","190","142","5.9","3","2.11","71.99","223.99","7","29","42","40","1.66","2","5.0","79.99","223.99","2","9","16","2025-12-31"
"karokee machine with bluetooth and wireless microphone for adults","9","43352","1062998","22682","2.13","16908","39.0","188","1.11","59.99","223.99","1097","2923","3865","5297","12.22","41","0.77","59.99","223.99","423","1020","1206","1681","3.88","16","0.95","59.99","223.99","145","391","409","2025-12-31"
"karaoke with screen","97","1934","48409","2134","4.41","722","37.33","19","2.63","139.99","223.99","27","88","124","94","4.86","4","4.26","159.99","223.99","0","7","18","21","1.09","0","0.0","129.99",,"0","1","5","2025-12-31"
"ilarao karaoke machine","57","318","6778","541","7.98","123","38.68","37","30.08","249.99","223.99","3","14","24","33","10.38","9","27.27","332.49","223.99","1","6","8","8","2.52","3","37.5","223.99","249.99","1","2","1","2025-12-31"
"karaoke machine￼","80","3387","71997","2210","3.07","1355","40.01","15","1.11","59.99","223.99","103","264","290","501","14.79","5","1.0","59.99","223.99","46","91","107","127","3.75","1","0.79","59.99","223.99","15","33","35","2025-12-31"
