ASIN 或商品=["B0FNCQW2K3"],报告范围=["每月"],选择年份=["2025"],选择月份=["11 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karaoke system connect to tv","39","1772","40269","849","2.11","600","33.86","2","0.33","76.99","170.99","51","181","161","71","4.01","1","1.41","79.99","170.99","7","14","20","15","0.85","0","0.0","64.99",,"2","4","5","2025-11-30"
"karaoke machine with lyrics display screen for adults","76","256","6812","202","2.97","106","41.41","6","5.66","108.28","170.99","6","31","22","17","6.64","1","5.88","99.99","170.99","2","1","4","2","0.78","0","0.0","12.99",,"1","0","0","2025-11-30"
"karaoke machine with autotune","34","1649","42291","992","2.35","755","45.79","6","0.79","99.99","170.99","90","224","199","102","6.19","0","0.0","99.99",,"11","37","27","21","1.27","0","0.0","99.99",,"3","8","6","2025-11-30"
"karaoke machine for adults with display screen","100","70","1638","59","3.6","46","65.71","3","6.52","129.99","179.99","4","12","19","6","8.57","1","16.67","140.65","179.99","1","1","2","0","0.0","0",,,,"0","0","0","2025-11-30"
"portable karaoke","89","4524","110242","212","0.19","1711","37.82","1","0.06","26.99","179.99","237","619","405","467","10.32","1","0.21","23.99","179.99","80","188","97","90","1.99","0","0.0","23.99",,"23","42","10","2025-11-30"
"ikarao karaoke machine for adults, with lyrics display screen, 32gb karaoke tablet, 2 wireless microphones, karaoke speaker with autotune eq, connect tv, portable karaoke system for home outdoor party","32","8","195","7","3.59","5","62.5","4","80.0","175.0","175.0","0","3","1","2","25.0","2","100.0","170.99","170.99","0","2","0","1","12.5","1","100.0","170.99","170.99","0","1","0","2025-11-30"
"best karaoke machine for adults","85","2985","74434","388","0.52","1074","35.98","4","0.37","99.99","170.99","92","344","241","234","7.84","0","0.0","99.99",,"35","78","44","51","1.71","0","0.0","95.99",,"8","21","11","2025-11-30"
"karaoke with lyrics display","20","1050","24119","646","2.68","371","35.33","6","1.62","99.99","170.99","27","99","113","56","5.33","2","3.57","119.99","170.99","4","14","17","8","0.76","1","12.5","159.98","170.99","2","3","2","2025-11-30"
"monster karaoke machine","41","401","8135","59","0.73","129","32.17","1","0.78","207.2","170.99","6","24","26","19","4.74","1","5.26","119.99","170.99","2","3","3","6","1.5","1","16.67","19.99","170.99","0","2","1","2025-11-30"
"karaoke machine with screen for adults","63","239","6534","190","2.91","109","45.61","5","4.59","140.65","170.99","8","23","30","21","8.79","2","9.52","131.13","170.99","1","5","4","1","0.42","0","0.0","99.99",,"0","0","0","2025-11-30"
"karaoke with hdmi","33","93","2438","73","2.99","45","48.39","5","11.11","119.99","170.99","3","14","17","4","4.3","1","25.0","109.99","170.99","0","1","2","1","1.08","1","100.0","170.99","170.99","0","0","1","2025-11-30"
"kareoke machine with hdmi","51","2","93","3","3.23","4","200.0","1","25.0","76.99","179.99","0","3","0","1","50.0","1","100.0","179.99","179.99","0","1","0","1","50.0","1","100.0","179.99","179.99","0","1","0","2025-11-30"
"professional karaoke machine system","84","2416","53337","396","0.74","1109","45.9","4","0.36","129.97","170.99","82","264","295","176","7.28","0","0.0","119.99",,"16","48","42","32","1.32","0","0.0","99.99",,"3","11","8","2025-11-30"
"high end karaoke system","92","929","33503","410","1.22","245","26.37","2","0.82","354.39","170.99","12","54","52","32","3.44","0","0.0","139.99",,"3","10","11","2","0.22","0","0.0","64.96",,"1","0","1","2025-11-30"
"karaoke machine with lyrics display","2","24733","621835","15939","2.56","11072","44.77","205","1.85","85.19","170.99","849","3186","3140","2175","8.79","51","2.34","72.99","175.0","190","685","561","404","1.63","12","2.97","64.96","170.99","44","135","95","2025-11-30"
"karaoke machine for adults with lyrics display","8","2460","64848","1647","2.54","996","40.49","30","3.01","99.99","170.99","67","275","292","175","7.11","8","4.57","101.27","170.99","11","55","49","27","1.1","4","14.81","151.98","170.99","2","7","9","2025-11-30"
"autotune","95","3665","90311","466","0.52","1294","35.31","0","0.0","129.0",,"54","285","267","147","4.01","0","0.0","137.99",,"4","31","29","13","0.35","0","0.0","43.68",,"0","3","2","2025-11-30"
"portable karaoke system","37","1052","23775","187","0.79","420","39.92","1","0.24","56.51","170.99","65","81","94","112","10.65","1","0.89","53.68","170.99","26","25","25","33","3.14","1","3.03","49.99","170.99","9","8","7","2025-11-30"
"karaoke songs and lyrics","80","1933","34231","646","1.89","8","0.41","0","0.0","61.71",,"1","1","2","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2025-11-30"
"karaoke with lyrics","14","3110","112838","2716","2.41","228","7.33","3","1.32","74.99","170.99","13","71","64","30","0.96","0","0.0","59.96",,"3","8","7","2","0.06","0","0.0","56.51",,"0","1","0","2025-11-30"
"karaoke machine for kids","88","192492","4534559","399","0.01","81368","42.27","3","0.0","24.99","179.99","9070","28093","19134","29570","15.36","0","0.0","23.74",,"3753","10598","6798","6919","3.59","0","0.0","22.22",,"1005","2451","1572","2025-11-30"
"ikarao s3","15","107","2513","88","3.5","67","62.62","13","19.4","170.99","170.99","3","19","22","12","11.21","5","41.67","170.99","170.99","1","2","5","4","3.74","1","25.0","151.99","170.99","0","0","1","2025-11-30"
"karaoke machine with display","11","668","16497","467","2.83","309","46.26","14","4.53","123.48","170.99","15","75","105","52","7.78","5","9.62","151.99","170.99","4","8","12","11","1.65","4","36.36","179.99","170.99","0","4","3","2025-11-30"
"karaoke machines","65","4094","106751","461","0.43","1513","36.96","3","0.2","59.49","179.99","103","470","355","370","9.04","1","0.27","54.99","179.99","31","109","97","64","1.56","0","0.0","56.51",,"7","22","13","2025-11-30"
"ikarao shell","31","126","3316","60","1.81","64","50.79","4","6.25","265.98","170.99","4","20","25","14","11.11","2","14.29","265.98","170.99","0","5","8","2","1.59","1","50.0","170.99","170.99","0","0","2","2025-11-30"
"karaoke screen lyrics display","98","484","10977","331","3.02","92","19.01","3","3.26","139.99","170.99","2","29","23","6","1.24","0","0.0","205.0",,"0","2","1","1","0.21","0","0.0","205.0",,"0","1","0","2025-11-30"
"karaoke machine with lyrics hdmi","57","1","22","1","4.55","1","100.0","1","100.0","179.99","179.99","0","0","1","1","100.0","1","100.0","179.99","179.99","0","0","1","1","100.0","1","100.0","179.99","179.99","0","0","1","2025-11-30"
"karaoke machine with screen","6","16349","380669","6368","1.67","6454","39.48","69","1.07","108.28","170.99","351","1524","1778","1010","6.18","4","0.4","129.99","170.99","64","243","294","156","0.95","1","0.64","79.0","170.99","10","44","53","2025-11-30"
"karaoke machine for tv hdmi","24","564","15693","419","2.67","266","47.16","8","3.01","99.99","179.99","11","82","58","37","6.56","2","5.41","85.19","170.99","5","11","8","6","1.06","1","16.67","123.48","170.99","2","1","2","2025-11-30"
"ikarao karaoke","18","540","13469","425","3.16","240","44.44","11","4.58","279.99","179.99","9","46","78","36","6.67","3","8.33","249.99","170.99","1","2","14","10","1.85","1","10.0","234.14","170.99","1","1","3","2025-11-30"
"karaoke for tv","71","2871","67090","580","0.86","988","34.41","4","0.4","89.99","179.99","72","270","296","146","5.09","0","0.0","89.99",,"11","45","49","21","0.73","0","0.0","99.99",,"4","7","6","2025-11-30"
