品牌=["Ikarao"],报告范围=["每月"],选择年份=["2025"],选择月份=["8 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光: 曝光品牌数量","曝光: 品牌曝光占比 %",点击量：总次数,"点击量：点击率 %",点击量：点击的品牌数,"点击量：品牌点击占比 %","点击量：价格(中位数)",点击量：品牌售价（中位数）,点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%",加入购物车：涉及品牌数,"购物车添加：品牌份额 %",加入购物车：售价（中位数）,购物车添加：品牌价格（中位数）,购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%",购买次数：品牌数量,"购买次数：品牌份额 %",购买次数：价格（中位数）,购买次数：品牌价格（中位数）,下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karaoke machine for adults with lyrics display","28","883","22949","5381","23.45","368","41.68","79","21.47","129.97","159.99","19","143","117","95","10.76","20","21.05","148.19","159.99","4","38","30","8","0.91","2","25.0","129.99","159.99","1","5","1","2025-08-31"
"karaoke machine ios","453","5","132","34","25.76","2","40.0","1","50.0","129.97","299.99","1","0","1","1","20.0","1","100.0","299.99","299.99","0","0","1","1","20.0","1","100.0","299.99","299.99","0","0","1","2025-08-31"
"ilarao karaoke machine","130","60","1208","650","53.81","31","51.67","27","87.1","279.97","279.98","2","19","7","5","8.33","5","100.0","279.98","279.98","0","4","0","1","1.67","1","100.0","246.47","246.47","0","1","0","2025-08-31"
"karaoke machine for adults bluetooth with screen","499","1","20","8","40.0","1","100.0","1","100.0","279.98","279.98","0","0","0","1","100.0","1","100.0","279.98","279.98","0","0","0","1","100.0","1","100.0","279.98","279.98","0","0","0","2025-08-31"
"electric karaoke machine","702","78","1764","306","17.35","23","29.49","3","13.04","69.99","349.99","1","7","5","5","6.41","1","20.0","94.97","349.99","0","1","0","2","2.56","0","0.0","53.53",,"0","1","0","2025-08-31"
"ikarao kareoke machine","476","1","60","14","23.33","1","100.0","1","100.0","299.97","299.97","0","0","1","1","100.0","1","100.0","299.97","299.97","0","0","1","1","100.0","1","100.0","299.97","299.97","0","0","1","2025-08-31"
"karaoke sing along with screen","432","3","63","23","36.51","2","66.67","2","100.0","159.98","159.98","0","2","0","1","33.33","1","100.0","159.98","159.98","0","1","0","1","33.33","1","100.0","159.98","159.98","0","1","0","2025-08-31"
"portable karaoke","31","2411","60707","6489","10.69","932","38.66","65","6.97","32.97","246.47","141","423","191","267","11.07","13","4.87","21.99","246.47","49","136","52","55","2.28","2","3.64","19.99","249.99","12","30","9","2025-08-31"
"karokee","574","203","5050","710","14.06","84","41.38","5","5.95","54.99","349.99","18","38","20","18","8.87","0","0.0","53.53",,"2","9","5","7","3.45","0","0.0","54.99",,"0","4","2","2025-08-31"
"lyric king karaoke machine","909","15","415","111","26.75","6","40.0","3","50.0","116.99","159.98","0","6","0","2","13.33","1","50.0","75.58","159.98","0","2","0","0","0.0","0",,,,"0","0","0","2025-08-31"
"karaoke machine that connects to tv","168","431","9824","1479","15.05","185","42.92","17","9.19","89.99","249.99","30","86","47","37","8.58","2","5.41","74.99","159.98","8","19","8","7","1.62","0","0.0","64.97",,"3","2","0","2025-08-31"
"karaoke system 2025","408","21","638","52","8.15","4","19.05","2","50.0","246.47","246.47","1","0","1","3","14.29","1","33.33","246.47","246.47","1","0","0","1","4.76","1","100.0","246.47","246.47","1","0","0","2025-08-31"
"chinese karaoke machine 中文","973","83","2575","292","11.34","34","40.96","4","11.76","599.0","249.99","1","3","3","2","2.41","0","0.0","549.0",,"0","0","1","0","0.0","0",,,,"0","0","0","2025-08-31"
"karaoke set for adults","157","479","11575","1793","15.49","206","43.01","22","10.68","74.99","299.97","12","107","31","28","5.85","1","3.57","59.49","349.99","4","12","3","5","1.04","0","0.0","64.97",,"1","2","0","2025-08-31"
"karaoke x1","441","2","33","8","24.24","2","100.0","2","100.0","594.99","594.99","0","0","1","1","50.0","1","100.0","594.99","594.99","0","0","1","1","50.0","1","100.0","594.99","594.99","0","0","1","2025-08-31"
"smart karaoke machine for adults - with lyrics display, 64gb karaoke tablet, 2 wireless mics, professional karaoke system, 300w peak power, 4 dj","511","1","20","6","30.0","1","100.0","1","100.0","349.99","349.99","0","1","0","1","100.0","1","100.0","349.99","349.99","0","1","0","1","100.0","1","100.0","349.99","349.99","0","1","0","2025-08-31"
"jbl speaker","289","293074","6015151","695","0.01","100630","34.34","6","0.01","91.0","349.99","12470","37429","19955","15966","5.45","2","0.01","89.95","349.99","2680","6434","2787","3266","1.11","0","0.0","89.95",,"821","1563","409","2025-08-31"
"karaoke machines￼","460","162","3536","503","14.23","55","33.95","7","12.73","59.49","159.99","3","23","15","22","13.58","1","4.55","54.99","159.99","2","9","6","4","2.47","0","0.0","40.49",,"0","3","1","2025-08-31"
"ikarao shell s1 vs shell s2","515","1","8","5","62.5","1","100.0","1","100.0","299.97","299.97","0","0","1","1","100.0","1","100.0","299.97","299.97","0","0","1","1","100.0","1","100.0","299.97","299.97","0","0","1","2025-08-31"
"karaoke machine with pitch control","423","93","2562","541","21.12","38","40.86","14","36.84","169.95","279.98","2","9","9","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2025-08-31"
"professional karaoke at home","478","2","42","14","33.33","2","100.0","1","50.0","129.99","349.99","0","2","0","1","50.0","1","100.0","349.99","349.99","0","1","0","1","50.0","1","100.0","349.99","349.99","0","1","0","2025-08-31"
"jbl","771","408325","8285800","425","0.01","127790","31.3","5","0.0","99.95","246.47","10791","34453","21662","15381","3.77","0","0.0","69.95",,"2038","4815","2464","2439","0.6","0","0.0","59.95",,"544","982","334","2025-08-31"
"karaoke machine for adults, with lyrics display and screen, karaoke system for youtube, 2 wireless microphones, autotune & echo, karafun prime, portable karaoke speaker for home outdoor party","205","12","636","65","10.22","4","33.33","3","75.0","159.98","159.99","0","3","1","2","16.67","2","100.0","159.98","159.98","0","1","1","2","16.67","2","100.0","159.98","159.98","0","1","1","2025-08-31"
"karaoke machine wifi","276","61","1300","349","26.85","21","34.43","5","23.81","159.99","159.99","2","4","2","2","3.28","1","50.0","159.99","159.99","0","0","1","1","1.64","1","100.0","219.99","219.99","0","0","0","2025-08-31"
"magic sing karaoke system 2025 latest","838","107","2583","426","16.49","44","41.12","3","6.82","492.49","249.99","1","14","12","5","4.67","0","0.0","492.49",,"1","1","1","1","0.93","0","0.0","495.0",,"0","0","1","2025-08-31"
"ikarao karaoke machine for adults, with lyrics display and screen","504","1","16","7","43.75","1","100.0","1","100.0","159.98","159.98","0","1","0","1","100.0","1","100.0","159.98","159.98","0","1","0","1","100.0","1","100.0","159.98","159.98","0","1","0","2025-08-31"
"tonor k20 karaoke machine","651","153","3760","691","18.38","53","34.64","2","3.77","219.99","349.99","1","9","12","11","7.19","0","0.0","209.98",,"0","2","4","4","2.61","0","0.0","129.99",,"0","1","1","2025-08-31"
"adult karaoke machine with lyrics display","643","71","1776","370","20.83","30","42.25","4","13.33","322.36","279.98","3","7","6","6","8.45","1","16.67","148.19","279.98","0","2","2","0","0.0","0",,,,"0","0","0","2025-08-31"
"卡拉ok点歌机","874","152","3250","393","12.09","43","28.29","3","6.98","781.41","159.99","0","2","3","1","0.66","0","0.0","849.0",,"0","0","0","0","0.0","0",,,,"0","0","0","2025-08-31"
"karaoke connect to tv","211","213","4855","764","15.74","97","45.54","8","8.25","79.99","246.47","4","46","26","7","3.29","1","14.29","79.99","246.47","0","5","2","3","1.41","1","33.33","64.97","246.47","0","2","1","2025-08-31"
"pyle karaoke machine","729","446","10575","607","5.74","147","32.96","1","0.68","157.71","349.99","2","26","25","15","3.36","0","0.0","207.99",,"1","2","3","5","1.12","0","0.0","176.79",,"1","1","1","2025-08-31"
"ilarao karaoke machine x1","129","41","828","372","44.93","18","43.9","16","88.89","279.98","279.98","1","1","14","5","12.2","5","100.0","349.99","349.99","1","0","4","2","4.88","2","100.0","349.99","349.99","1","0","1","2025-08-31"
"karaoke microphone with speaker","963","1402","35847","373","1.04","543","38.73","2","0.37","25.99","249.99","82","271","112","136","9.7","0","0.0","28.49",,"20","68","31","31","2.21","0","0.0","28.49",,"8","16","4","2025-08-31"
"karaoke with microphone","654","323","7066","313","4.43","120","37.15","5","4.17","49.99","349.99","14","47","29","27","8.36","1","3.7","53.53","249.99","5","14","6","8","2.48","0","0.0","53.53",,"3","2","3","2025-08-31"
"ikarao smart karaoke machine","240","47","1368","576","42.11","19","40.43","18","94.74","249.99","249.99","4","4","4","2","4.26","2","100.0","159.98","159.98","0","1","0","0","0.0","0",,,,"0","0","0","2025-08-31"
"karaoke machine ikarao","62","95","2310","987","42.73","43","45.26","35","81.4","299.99","349.99","1","16","18","9","9.47","8","88.89","349.99","349.99","0","3","3","4","4.21","4","100.0","246.47","246.47","0","3","0","2025-08-31"
"karaoke machine with screen lyrics","568","46","1164","289","24.83","24","52.17","3","12.5","123.49","159.99","1","8","4","3","6.52","2","66.67","159.99","159.99","0","1","0","1","2.17","0","0.0","29.99",,"0","0","0","2025-08-31"
"magic mike karaoke system 2025","251","146","3152","389","12.34","53","36.3","8","15.09","299.99","279.98","3","15","19","12","8.22","1","8.33","192.97","279.98","2","6","3","3","2.05","1","33.33","80.72","279.98","1","2","0","2025-08-31"
"singing machine platinum plus wi-fi karaoke machine","200","14","506","89","17.59","10","71.43","4","40.0","349.99","349.99","0","3","5","4","28.57","2","50.0","349.99","349.99","0","2","2","3","21.43","2","66.67","349.99","349.99","0","1","2","2025-08-31"
"ikarao x1","98","73","1602","790","49.31","29","39.73","29","100.0","629.99","629.99","0","7","14","3","4.11","3","100.0","629.99","629.99","0","1","1","3","4.11","3","100.0","629.99","629.99","0","1","1","2025-08-31"
"tv compatible karaoke machine","617","27","720","165","22.92","14","51.85","4","28.57","74.99","246.47","0","3","2","2","7.41","2","100.0","246.47","246.47","0","1","0","0","0.0","0",,,,"0","0","0","2025-08-31"
"karaoke professional","161","505","10843","1428","13.17","173","34.26","23","13.29","349.99","349.99","4","28","50","22","4.36","2","9.09","255.0","349.99","1","4","8","1","0.2","0","0.0","123.49",,"0","0","1","2025-08-31"
"karaoke machirn with lyrics display","781","2","40","14","35.0","2","100.0","2","100.0","159.99","159.99","0","2","0","2","100.0","2","100.0","159.99","159.99","0","2","0","0","0.0","0",,,,"0","0","0","2025-08-31"
"ikaria karaoke","410","6","121","50","41.32","3","50.0","2","66.67","249.99","249.99","0","1","0","1","16.67","1","100.0","249.99","249.99","0","0","0","1","16.67","1","100.0","249.99","249.99","0","0","0","2025-08-31"
"autotune karaoke machine","105","422","9718","2690","27.68","143","33.89","36","25.17","129.97","249.99","6","59","25","11","2.61","2","18.18","72.99","159.99","0","4","2","0","0.0","0",,,,"0","0","0","2025-08-31"
"ikaro shell s1","99","58","483","289","59.83","33","56.9","33","100.0","279.98","279.98","1","10","17","7","12.07","7","100.0","279.98","279.98","0","2","5","2","3.45","2","100.0","159.99","159.99","0","1","1","2025-08-31"
"portable karaoke mixer","392","95","3034","104","3.43","33","34.74","1","3.03","69.99","159.99","0","9","16","9","9.47","1","11.11","69.99","159.99","0","3","4","2","2.11","1","50.0","25.99","159.99","0","0","2","2025-08-31"
"karaoke machine for adults kids with lyric display screen wi-fi connection to youtube and cario app two eq auto tune wireless microphone portable karaoke pa system","524","1","21","5","23.81","1","100.0","1","100.0","159.98","159.98","0","0","0","1","100.0","1","100.0","159.98","159.98","0","0","0","1","100.0","1","100.0","159.98","159.98","0","0","0","2025-08-31"
"jbl partybox","37","114283","2334563","9302","0.4","45476","39.79","29","0.06","440.22","246.47","515","9082","13429","4928","4.31","1","0.02","349.95","246.47","93","1108","1495","609","0.53","1","0.16","379.95","246.47","23","172","181","2025-08-31"
"amazon karaoke","247","215","5432","571","10.51","50","23.26","4","8.0","59.49","159.98","0","20","14","6","2.79","1","16.67","64.97","159.99","0","2","3","3","1.4","1","33.33","89.99","159.99","0","1","1","2025-08-31"
"mini karaoke machine","51","28021","636828","5800","0.91","12999","46.39","35","0.27","16.99","246.47","1712","6372","2823","5171","18.45","6","0.12","16.99","246.47","767","2579","1095","1321","4.71","0","0.0","16.85",,"240","704","250","2025-08-31"
"vangoa karaoke machine","897","66","1658","412","24.85","38","57.58","2","5.26","699.99","246.47","0","2","8","4","6.06","0","0.0","699.99",,"0","0","0","0","0.0","0",,,,"0","0","0","2025-08-31"
"altavoz con pantalla","920","83","1689","142","8.41","26","31.33","2","7.69","159.98","159.98","0","3","8","3","3.61","1","33.33","125.48","159.98","0","1","1","0","0.0","0",,,,"0","0","0","2025-08-31"
"karioke","681","126","3567","526","14.75","40","31.75","5","12.5","53.53","159.99","5","17","8","9","7.14","0","0.0","31.99",,"1","6","0","2","1.59","0","0.0","18.02",,"1","1","0","2025-08-31"
"karaoke machine with hdmi output to tv","869","93","2320","322","13.88","61","65.59","5","8.2","94.97","249.99","0","33","15","10","10.75","0","0.0","75.58",,"0","7","1","2","2.15","0","0.0","69.99",,"0","1","1","2025-08-31"
"karaoke s2","436","4","44","19","43.18","2","50.0","2","100.0","246.47","246.47","0","1","0","1","25.0","1","100.0","246.47","246.47","0","0","0","1","25.0","1","100.0","246.47","246.47","0","0","0","2025-08-31"
"karoke machine with bluetooth and wireless microphone for adults","80","1370","38423","3356","8.73","448","32.7","36","8.04","64.97","349.99","59","214","93","120","8.76","4","3.33","59.49","349.99","23","48","29","40","2.92","0","0.0","59.49",,"10","18","7","2025-08-31"
"karaoke machine with built in screen and mics","992","13","261","96","36.78","9","69.23","2","22.22","159.99","159.99","0","0","6","4","30.77","1","25.0","74.99","159.99","0","0","4","0","0.0","0",,,,"0","0","0","2025-08-31"
"ikarao break 2","332","8","178","118","66.29","5","62.5","5","100.0","349.97","349.97","0","3","0","1","12.5","1","100.0","359.99","359.99","0","1","0","1","12.5","1","100.0","359.99","359.99","0","1","0","2025-08-31"
"wicked karaoke machine","934","296","6942","466","6.71","113","38.18","0","0.0","29.99",,"1","39","46","43","14.53","0","0.0","29.99",,"1","14","13","14","4.73","0","0.0","29.99",,"0","8","2","2025-08-31"
"echo show","975","256777","5126896","438","0.01","108056","42.08","0","0.0","134.99",,"22461","44678","18177","17592","6.85","0","0.0","89.99",,"4205","7448","2921","3539","1.38","0","0.0","89.99",,"1140","1578","456","2025-08-31"
"rechargeable karaoke machines for adults","444","17","341","43","12.61","8","47.06","1","12.5","64.97","629.99","0","3","0","6","35.29","1","16.67","64.97","629.99","0","1","0","2","11.76","1","50.0","59.49","629.99","0","1","0","2025-08-31"
"karaoke machine with songs","132","206","6014","1117","18.57","80","38.83","23","28.75","129.97","249.99","5","29","23","6","2.91","3","50.0","74.99","159.99","0","1","3","3","1.46","1","33.33","74.99","159.99","0","1","2","2025-08-31"
"portable pa system","646","7857","226025","695","0.31","2889","36.77","2","0.07","268.94","159.98","50","646","721","316","4.02","0","0.0","169.99",,"11","91","81","65","0.83","0","0.0","149.0",,"4","31","11","2025-08-31"
"videoke karaoke machine filipino","138","499","11548","1914","16.57","168","33.67","24","14.29","246.47","349.99","9","44","41","25","5.01","2","8.0","94.97","159.98","3","8","4","1","0.2","0","0.0","94.97",,"0","0","0","2025-08-31"
"ikarao break x 2","534","1","9","2","22.22","1","100.0","1","100.0","349.99","349.99","0","0","1","1","100.0","1","100.0","349.99","349.99","0","0","1","1","100.0","1","100.0","349.99","349.99","0","0","1","2025-08-31"
"viwu karaoke machine","933","25","817","174","21.3","16","64.0","1","6.25","79.99","249.99","0","3","9","6","24.0","1","16.67","79.99","249.99","0","0","4","2","8.0","0","0.0","79.99",,"0","0","2","2025-08-31"
"home karaoke machine for adults","274","44","1059","214","20.21","19","43.18","2","10.53","129.97","246.47","1","13","3","6","13.64","2","33.33","246.47","246.47","0","3","1","1","2.27","1","100.0","246.47","246.47","0","1","0","2025-08-31"
"filipino karaoke","892","38","1077","124","11.51","15","39.47","3","20.0","349.0","159.99","0","4","6","5","13.16","1","20.0","159.99","159.99","0","1","2","1","2.63","0","0.0","13.99",,"0","0","1","2025-08-31"
"卡拉ok机","912","111","2427","367","15.12","40","36.04","3","7.5","650.0","159.99","1","6","3","3","2.7","0","0.0","849.0",,"0","1","0","1","0.9","0","0.0","74.99",,"0","1","0","2025-08-31"
"in and on karaoke","841","113","2690","461","17.14","49","43.36","2","4.08","628.0","159.99","0","2","2","2","1.77","0","0.0","549.0",,"0","0","1","1","0.88","0","0.0","549.0",,"0","0","1","2025-08-31"
"karaoke machine with hdmi output","671","128","4774","580","12.15","50","39.06","4","8.0","99.99","299.97","4","10","23","5","3.91","0","0.0","109.0",,"1","0","4","1","0.78","0","0.0","74.99",,"0","0","1","2025-08-31"
"icaro karaoke","711","14","250","109","43.6","8","57.14","8","100.0","349.99","349.99","1","0","3","1","7.14","1","100.0","349.99","349.99","0","0","1","0","0.0","0",,,,"0","0","0","2025-08-31"
"masingo karaoke machine","146","683","17526","1759","10.04","282","41.29","8","2.84","116.99","159.99","4","59","65","52","7.61","1","1.92","99.99","159.98","2","4","18","13","1.9","1","7.69","108.99","159.98","1","2","4","2025-08-31"
"karaoke system with screen","769","75","1669","426","25.52","22","29.33","5","22.73","349.99","349.99","0","6","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2025-08-31"
"karaoke machine with screen display","976","12","257","70","27.24","5","41.67","3","60.0","159.98","159.98","1","2","1","1","8.33","1","100.0","159.98","159.98","0","0","1","0","0.0","0",,,,"0","0","0","2025-08-31"
"ikarao smart karaoke","250","24","1267","217","17.13","10","41.67","6","60.0","159.99","159.99","0","3","4","2","8.33","2","100.0","159.98","159.98","0","1","1","1","4.17","1","100.0","159.98","159.98","0","1","0","2025-08-31"
"kids karaoke machine with lyrics display","217","37","917","119","12.98","20","54.05","4","20.0","59.99","159.99","0","7","6","6","16.22","4","66.67","159.99","159.99","0","3","1","2","5.41","1","50.0","246.47","246.47","0","1","0","2025-08-31"
