报告范围=["每月"],选择年份=["2026"],选择月份=["6 月"],品牌=["Ikarao"]
"ASIN 商品名称",ASIN,分类,"曝光: 曝光总量",曝光量：评级（中位数）,"曝光：售价(中位数)",曝光：当日达配送速度,"曝光量：1 天配送速度","曝光量：2 天配送速度","点击: 点击量","点击：点击率 （CTR）","点击量：价格(中位数)",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,"加入购物车 : 加购数",加入购物车：售价（中位数）,购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",下单成交：成交总量,下单成交：搜索来源销售额,"购买次数：转化率 %",购买次数：评分（中位数）,购买次数：价格（中位数）,下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"Ikarao Karaoke Machine for Adults with Lyrics Display, Built-in 13.3"" Screen, Truly All in One Karaoke Machine with 2 Wireless Microphone (Hidden & Self Charging), 460W Bluetooth Speaker for Party, TV","B0CLLT85Y6","Musical Instruments","53997",,"599.99","261","13972","18665","1005","1.86","599.99","4","185","370","154","599.99","0","28","59","50","30006.81","4.98",,"599.99","0","10","19","2026-06-30"
"Ikarao Speaker Stand Adjustable Height 36""-47"", Heavy Duty Carbon Steel Karaoke Machine Stands with Dual Tension Knobs, Portable Tripod Speaker Mount for PA DJ System & Party, 35mm Insert, 66lbs Load","B0CP1VM45S","Musical Instruments","8856",,"39.99","17","1038","2633","229","2.59","39.99","1","18","73","88","39.99","0","10","19","35","1399.65","15.28",,"39.99","0","7","5","2026-06-30"
"Ikarao Smart Karaoke Machine for Adults - with Lyrics Display, 32GB Karaoke Tablet, 2 Wireless Mics, Professional Karaoke System, 300W Peak Power, 4 DJ Lights, Karaoke Speaker for Any Occasion","B0CR1R7FKP","Musical Instruments","659197",,"399.99","12162","127369","206228","8332","1.26","399.99","161","1666","2663","1234","399.99","30","273","419","338","131855.19","4.06",,"399.99","7","99","124","2026-06-30"
"Professional Karaoke Machine for Adults, PA System, 300W Speaker with Built-in Screen with Lyrics Display with Self-Charging 2 Micphones，Support WiFi AUX HDMI for TV Projector","B0CZMN3721","Musical Instruments","12299",,"399.99","0","510","1002","68","0.55","399.99","0","4","5","13","399.99","0","0","0","1","399.99","1.47",,"399.99","0","0","0","2026-06-30"
"Ikarao Karaoke Machine, Built-in Lyrics Display, 32GB Karaoke Tablet, KaraFun Prime, 280W Karaoke Speaker with 2 Self-Charging Mics, Connects to TV, EQ, Portable Karaoke System for Adult Home Parties","B0D6Z2228K","Musical Instruments","17634",,"349.99","103","2934","6649","97","0.55","349.99","0","15","45","14","339.99","0","3","5","3","1149.97","3.09",,"399.99","0","1","1","2026-06-30"
"Ikarao Karaoke Machine for Adults, with Lyrics Display, 10.1"" Screen, 280W, 2+2 Channel, 2 Wireless Microphone, Autotune EQ, Self-Charging, Portable Home Karaoke System with KaraFun Prime, HDMI for TV","B0DCZQX11P","Musical Instruments","359715",,"349.99","3961","93333","144761","2683","0.75","349.99","34","781","1103","512","349.99","2","166","216","160","55228.38","5.96",,"349.99","0","51","78","2026-06-30"
"Ikarao Karaoke Machine with Microphone Stand, Portable Bluetooth Speaker for Party, Backyard, Karaoke System with 2 Wireless Microphone for Adults Kids, for Women, Men, Singing Lovers","B0DH1P8M7M","Musical Instruments","33935",,"469.99","540","11893","11488","213","0.63","469.99","2","84","78","25","469.99","0","8","12","12","4916.12","5.63",,"379.52","0","5","5","2026-06-30"
"Ikarao Portable Karaoke Machine for Adults, Built-in Lyrics Display and Screen, 2 Self-Charging Wireless Microphones, Karaoke App, 140W Speaker, Connects to TV for Home Party Birthday Outdoor Camping","B0DHPN1DMJ","Musical Instruments","690208",,"299.99","63024","324205","149834","7626","1.1","299.99","862","3792","1711","1119","299.99","139","594","235","315","95077.98","4.13",,"299.99","41","175","78","2026-06-30"
"Ikarao Karaoke Machine for Adults, with Lyrics Display, Karaoke System for YouTube, 280W Speaker, Autotune & EQ, Connect to TV, Portable PA System with 2 Wireless Microphones for Home Outdoor Party","B0DP3295MS","Musical Instruments","4843",,"399.99","44","1016","1784","56","1.16","399.99","0","13","25","9","399.99","0","3","3","1","295.99","1.79",,"295.99","0","1","0","2026-06-30"
"Karaoke Machine for Adults, with Lyrics Display and Screen, Support HDMI to TV, WiFi Connects to Karaoke App and YouTube, 2 Self-Charging Wireless Microphones EQ Autotune,140W Speaker for Home Party","B0DP4236FZ","Musical Instruments","3193",,"314.99","3","550","526","16","0.5","314.99","0","2","2","1","314.99","0","0","0","0","0.0","0.0",,,"0","0","0","2026-06-30"
"Ikarao Karaoke Machine for Adults, with Lyrics Display and Screen, Karaoke System for YouTube, 2 Wireless Microphones, Autotune & Echo, KaraFun Prime, Portable Karaoke Speaker for Home Outdoor Party","B0DVQ91695","Musical Instruments","2747",,"299.99","0","194","542","16","0.58","299.99","0","0","2","1","299.99","0","0","1","0","0.0","0.0",,,"0","0","0","2026-06-30"
"Ikarao Karaoke Machine for Adults, with Lyrics Display Screen, WiFi for YouTube & Karaoke Apps, HDMI to TV, 2 Wireless Microphones, Portable Autotune EQ Karaoke Speaker for Family Home Party Camping","B0DVQBCC47","Musical Instruments","211273",,"215.98","15199","96066","47413","1735","0.82","215.98","150","826","375","278","215.98","28","156","50","59","12930.25","3.4",,"215.98","10","36","7","2026-06-30"
"Ikarao Karaoke Machine for Adults, with Lyrics Display Screen, 2 Self-Charging Wireless Microphones, Autotune & EQ, 140W Speaker, Connect TV, Portable Karaoke System for Home, Family, Party, Travel","B0FDB4BGHG","Musical Instruments","25024",,"319.99","1786","10790","6181","170","0.68","319.99","15","67","46","35","319.99","4","15","7","5","1584.95","2.94",,"319.99","1","1","2","2026-06-30"
