报告范围=["每月"],选择年份=["2025"],选择月份=["6 月"],搜索词=["karaoke"]
搜索频率排名,搜索词,点击量第1的品牌,点击量第2的品牌,点击量第3的品牌,点击量最高的分类,点击量第二的分类,"点击量第 3 的分类",点击量第1的商品：ASIN,"点击量第1的商品: 商品标题",点击量最高的商品：点击份额,点击量第1的商品：转化贡献占比,点击量第2的商品：ASIN,点击量第2的商品：商品标题,点击量第二的商品：点击份额,热门点击商品第2名：转化贡献占比,点击量第三的商品：ASIN,点击量第3的商品：商品标题,点击量第三的商品：点击份额,点击量第3的商品：转化贡献占比,报告日期
"2268","karaoke machine","CYY","VOSOCO","HWWR","Musical Instruments","Toys","Electronics","B0D1VJMSQG","Karaoke Machine, Portable Bluetooth Speaker with 2 Wireless Microphones for Adults & Kids with Lights, Karaoke Microphone with PA System Supports USB/TF/REC/FM/AUX for Home Party","24.34","20.39","B0CCJDG68C","VOSOCO Karaoke Machine, Portable Bluetooth Karaoke Speaker with 2 Wireless Microphones, PA System for Adults Kids with LED Lights, Supports REC/FM/AUX/USB/TF for Home Party","9.41","8.31","B0D86TTLGZ","Karaoke Machine, Portable Bluetooth 5.3 Speaker with 2 Wireless Microphones for Adults, PA System with Pitch Correction & Echo Adjustment, Supports TWS/TF Card/USB/AUX/Live/REC for Home Party","4.71","3.16","2025-06-30"
"11118","karaoke machine for adults","CYY","Ikarao","PPMIC","Musical Instruments","Toys","Electronics","B0D1VJMSQG","Karaoke Machine, Portable Bluetooth Speaker with 2 Wireless Microphones for Adults & Kids with Lights, Karaoke Microphone with PA System Supports USB/TF/REC/FM/AUX for Home Party","23.29","21.75","B0CCJDG68C","VOSOCO Karaoke Machine, Portable Bluetooth Karaoke Speaker with 2 Wireless Microphones, PA System for Adults Kids with LED Lights, Supports REC/FM/AUX/USB/TF for Home Party","9.93","9.03","B0D86TTLGZ","Karaoke Machine, Portable Bluetooth 5.3 Speaker with 2 Wireless Microphones for Adults, PA System with Pitch Correction & Echo Adjustment, Supports TWS/TF Card/USB/AUX/Live/REC for Home Party","9.52","6.83","2025-06-30"
"17155","karaoke microphone","BONAOK","Peski","JBL","Musical Instruments","Electronics","Toys","B071SGMQ7V","BONAOK Wireless Bluetooth Karaoke Microphone,3-in-1 Portable Handheld Karaoke Mic Speaker Machine Home Party Birthday for All Smartphones PC(Q37 Rose Gold)","22.97","12.8","B073J3GWCC","BONAOK Karaoke Microphone for Kids & Adults - Instrument Wireless Microphones Bluetooth Singing Mic with Disco Lights, Echo Effect, Built-in Speaker Portable for Party Travel Gifts Q78(Black)","5.93","3.99","B07BHLGK87","BONAOK Karaoke Microphone for Kids & Adults - Instrument Wireless Microphones Bluetooth Singing Mic with Disco Lights, Echo Effect, Built-in Speaker Portable for Party Travel Gifts Q78(Rose Gold)","5.62","4.37","2025-06-30"
"27336","karaoke machine for kids","ZEBOLE","CYY","BEILIHART","Musical Instruments","Toys","Electronics","B0DPHFY94K","Karaoke Machine for Kids Adults: Mini Karaoke Machine with 2 Wireless Mics and Light for Family Home Party - Portable Karaoke Speaker Toy Gift for Girls Boys Ages 4-12+ Years Old Birthday Christmas","13.06","2.21","B0D1VJMSQG","Karaoke Machine, Portable Bluetooth Speaker with 2 Wireless Microphones for Adults & Kids with Lights, Karaoke Microphone with PA System Supports USB/TF/REC/FM/AUX for Home Party","11.78","6.91","B0CNX6MMK3","Mini Karaoke Machine, Portable Bluetooth Karaoke Speaker with 2 Wireless Microphones and Party Lights for Kids and Adults, Birthday Gifts for Girls Boys Family Home Party","7.62","6.02","2025-06-30"
"30992","karaoke","CYY",,"Peski","Musical Instruments","Digital_Music_Purchase","Electronics","B0D1VJMSQG","Karaoke Machine, Portable Bluetooth Speaker with 2 Wireless Microphones for Adults & Kids with Lights, Karaoke Microphone with PA System Supports USB/TF/REC/FM/AUX for Home Party","13.71","11.54","B0CCJDG68C","VOSOCO Karaoke Machine, Portable Bluetooth Karaoke Speaker with 2 Wireless Microphones, PA System for Adults Kids with LED Lights, Supports REC/FM/AUX/USB/TF for Home Party","7.49","6.58","B0DPMV795H","Powered PA Speaker, Bluetooth Loudspeaker, Portable Bluetooth Karaoke Player Machine with 2 Wireless Karaoke Microphones for Adults Kids with Subwoofer, Support TWS/TF/USB/AUX for Home Party Outdoor","6.21","4.43","2025-06-30"
"37044","mini karaoke machine","BEILIHART","ZEBOLE","TAEMVV","Musical Instruments","Toys","Electronics","B0CNX6MMK3","Mini Karaoke Machine, Portable Bluetooth Karaoke Speaker with 2 Wireless Microphones and Party Lights for Kids and Adults, Birthday Gifts for Girls Boys Family Home Party","14.84","10.34","B0DPHFY94K","Karaoke Machine for Kids Adults: Mini Karaoke Machine with 2 Wireless Mics and Light for Family Home Party - Portable Karaoke Speaker Toy Gift for Girls Boys Ages 4-12+ Years Old Birthday Christmas","12.68","1.51","B0D7MD7LQ5","TAEMVV Mini Karaoke Machine for Kids Ages 2-12, Portable Bluetooth Karaoke Speaker with LED Party Lights & 2 Wireless Microphones, Perfect Birthday & Holiday Toys Gifts for Girls Boys (White)","8.95","5.97","2025-06-30"
"60341","karaoke microphone wireless","BONAOK","JBL","Peski","Musical Instruments","Electronics","Toys","B071SGMQ7V","BONAOK Wireless Bluetooth Karaoke Microphone,3-in-1 Portable Handheld Karaoke Mic Speaker Machine Home Party Birthday for All Smartphones PC(Q37 Rose Gold)","18.81","13.13","B07BHLGK87","BONAOK Karaoke Microphone for Kids & Adults - Instrument Wireless Microphones Bluetooth Singing Mic with Disco Lights, Echo Effect, Built-in Speaker Portable for Party Travel Gifts Q78(Rose Gold)","7.64","5.19","B08WHHWRST","JBL Wireless Two Microphone System with Dual-Channel Receiver, Black","7.14","2.31","2025-06-30"
"88080","kids karaoke machine","BEILIHART","CYY","YLL","Musical Instruments","Toys","Electronics","B0CNX6MMK3","Mini Karaoke Machine, Portable Bluetooth Karaoke Speaker with 2 Wireless Microphones and Party Lights for Kids and Adults, Birthday Gifts for Girls Boys Family Home Party","11.74","6.4","B0D1VJMSQG","Karaoke Machine, Portable Bluetooth Speaker with 2 Wireless Microphones for Adults & Kids with Lights, Karaoke Microphone with PA System Supports USB/TF/REC/FM/AUX for Home Party","9.37","3.73","B0DHRXSZGH","Mini Karaoke Machine for Kids Girls Boys,Birthday Gifts for Ages 4 5 6 7 8+ Year Old,【2025 Newest】 Portable Bluetooth Speaker with 2 Wireless Microphone Lights,Voice Changer,AUX/TF Card Support，Pink","4.37","4.67","2025-06-30"
"92281","karaoke machine with lyrics display","VOSOCO","Ikarao","CYY","Musical Instruments","Electronics","Toys","B0CCJDG68C","VOSOCO Karaoke Machine, Portable Bluetooth Karaoke Speaker with 2 Wireless Microphones, PA System for Adults Kids with LED Lights, Supports REC/FM/AUX/USB/TF for Home Party","19.57","11.82","B0D1VJMSQG","Karaoke Machine, Portable Bluetooth Speaker with 2 Wireless Microphones for Adults & Kids with Lights, Karaoke Microphone with PA System Supports USB/TF/REC/FM/AUX for Home Party","13.02","8.18","B0DVQBCC47","Ikarao Karaoke Machine for Adults Kids, with Lyrics Display Screen, WiFi Connect to YouTube & Karaoke App, 2 EQ Autotune Wireless Microphones Portable Karaoke PA System for Home Family Party Camping","6.72","5.0","2025-06-30"
"114959","wireless microphones for karaoke","JBL","ECHOMUSSY","HUACAM","Musical Instruments","Electronics","PC","B08WHHWRST","JBL Wireless Two Microphone System with Dual-Channel Receiver, Black","12.38","8.55","B0CNVVTF3P","HUACAM Wireless Microphone,Rechargeable Wireless Dual UHF Microphone,Dual Handheld Dynamic Wireless Mic for Karaoke Singing, Wedding, DJ, Party, Speech, Church, Class Use,PA System,200ft,Gray","6.43","5.94","B000VXF2I6","Singing Machine Portable Wireless Microphone (Black) - Premium Unidirectional UHF Wireless Mic for Singing, Speeches & Events - Cordless Mic Compatible with Karaoke Machines, PA Systems & More","6.0","5.7","2025-06-30"
